[1] 480m:0s to go...
---- Running throughput benchmarks (higher is better) ----
                    AtomicQueueB, 1,i:  43,008,673 msg/sec
                    AtomicQueueB, 2,s:  11,883,103 msg/sec
                    AtomicQueueB, 2,i:  11,467,351 msg/sec
                    AtomicQueueB, 3,s:  11,033,540 msg/sec
                    AtomicQueueB, 3,i:  10,236,103 msg/sec
                    AtomicQueueB, 4,s:   8,069,505 msg/sec
                    AtomicQueueB, 4,i:   7,997,226 msg/sec
                    AtomicQueueB, 5,s:   7,797,496 msg/sec
                    AtomicQueueB, 5,i:   7,881,892 msg/sec
                    AtomicQueueB, 6,s:   7,448,797 msg/sec
                    AtomicQueueB, 6,i:   7,521,712 msg/sec
                    AtomicQueueB, 7,s:   6,840,693 msg/sec
                    AtomicQueueB, 7,i:   7,727,071 msg/sec
                    AtomicQueueB, 8,s:   6,299,929 msg/sec
                    AtomicQueueB, 8,i:   7,150,585 msg/sec
             OptimistAtomicQueue, 1,s: 770,709,345 msg/sec
             OptimistAtomicQueue, 1,i: 605,466,698 msg/sec
             OptimistAtomicQueue, 2,s:  32,645,305 msg/sec
             OptimistAtomicQueue, 2,i:  32,612,960 msg/sec
             OptimistAtomicQueue, 3,s:  36,681,344 msg/sec
             OptimistAtomicQueue, 3,i:  37,470,213 msg/sec
             OptimistAtomicQueue, 4,s:  39,275,558 msg/sec
             OptimistAtomicQueue, 4,i:  39,366,488 msg/sec
             OptimistAtomicQueue, 5,s:  42,511,898 msg/sec
             OptimistAtomicQueue, 5,i:  46,277,962 msg/sec
             OptimistAtomicQueue, 6,s:  42,371,185 msg/sec
             OptimistAtomicQueue, 6,i:  50,212,419 msg/sec
             OptimistAtomicQueue, 7,s:  45,057,595 msg/sec
             OptimistAtomicQueue, 7,i:  52,045,712 msg/sec
             OptimistAtomicQueue, 8,s:  46,460,261 msg/sec
             OptimistAtomicQueue, 8,i:  48,739,843 msg/sec
            OptimistAtomicQueueB, 1,s: 403,687,687 msg/sec
            OptimistAtomicQueueB, 1,i: 155,820,088 msg/sec
            OptimistAtomicQueueB, 2,s:  32,177,550 msg/sec
            OptimistAtomicQueueB, 2,i:  32,352,509 msg/sec
            OptimistAtomicQueueB, 3,s:  36,284,533 msg/sec
            OptimistAtomicQueueB, 3,i:  36,911,021 msg/sec
            OptimistAtomicQueueB, 4,s:  38,706,853 msg/sec
            OptimistAtomicQueueB, 4,i:  38,517,109 msg/sec
            OptimistAtomicQueueB, 5,s:  40,736,534 msg/sec
            OptimistAtomicQueueB, 5,i:  45,040,236 msg/sec
            OptimistAtomicQueueB, 6,s:  40,743,893 msg/sec
            OptimistAtomicQueueB, 6,i:  48,928,307 msg/sec
            OptimistAtomicQueueB, 7,s:  42,000,973 msg/sec
            OptimistAtomicQueueB, 7,i:  51,227,515 msg/sec
            OptimistAtomicQueueB, 8,s:  44,873,902 msg/sec
            OptimistAtomicQueueB, 8,i:  48,795,020 msg/sec
                    AtomicQueue2, 1,s:  24,312,587 msg/sec
                    AtomicQueue2, 1,i:  24,040,484 msg/sec
                    AtomicQueue2, 2,s:  11,834,775 msg/sec
                    AtomicQueue2, 2,i:  11,365,104 msg/sec
                    AtomicQueue2, 3,s:   9,382,218 msg/sec
                    AtomicQueue2, 3,i:   9,404,607 msg/sec
                    AtomicQueue2, 4,s:   8,028,514 msg/sec
                    AtomicQueue2, 4,i:   8,034,411 msg/sec
                    AtomicQueue2, 5,s:   7,910,296 msg/sec
                    AtomicQueue2, 5,i:   7,996,460 msg/sec
                    AtomicQueue2, 6,s:   7,522,271 msg/sec
                    AtomicQueue2, 6,i:   7,529,563 msg/sec
                    AtomicQueue2, 7,s:   7,163,998 msg/sec
                    AtomicQueue2, 7,i:   7,901,168 msg/sec
                    AtomicQueue2, 8,s:   6,373,689 msg/sec
                    AtomicQueue2, 8,i:   7,188,819 msg/sec
                   AtomicQueueB2, 1,s:  42,479,880 msg/sec
                   AtomicQueueB2, 1,i:  33,054,584 msg/sec
                   AtomicQueueB2, 2,s:  11,232,562 msg/sec
                   AtomicQueueB2, 2,i:  11,116,908 msg/sec
                   AtomicQueueB2, 3,s:   9,273,095 msg/sec
                   AtomicQueueB2, 3,i:   9,287,186 msg/sec
                   AtomicQueueB2, 4,s:   7,767,180 msg/sec
                   AtomicQueueB2, 4,i:   7,679,077 msg/sec
                   AtomicQueueB2, 5,s:   7,376,299 msg/sec
                   AtomicQueueB2, 5,i:   7,538,485 msg/sec
                   AtomicQueueB2, 6,s:   7,188,133 msg/sec
                   AtomicQueueB2, 6,i:   7,353,797 msg/sec
                   AtomicQueueB2, 7,s:   6,874,799 msg/sec
                   AtomicQueueB2, 7,i:   7,632,677 msg/sec
                   AtomicQueueB2, 8,s:   6,308,959 msg/sec
                   AtomicQueueB2, 8,i:   7,076,699 msg/sec
            OptimistAtomicQueue2, 1,s: 536,784,427 msg/sec
            OptimistAtomicQueue2, 1,i:  34,024,126 msg/sec
            OptimistAtomicQueue2, 2,s:  24,515,225 msg/sec
            OptimistAtomicQueue2, 2,i:  24,020,535 msg/sec
            OptimistAtomicQueue2, 3,s:  30,318,084 msg/sec
            OptimistAtomicQueue2, 3,i:  29,922,742 msg/sec
            OptimistAtomicQueue2, 4,s:  33,397,708 msg/sec
            OptimistAtomicQueue2, 4,i:  32,966,794 msg/sec
            OptimistAtomicQueue2, 5,s:  37,022,229 msg/sec
            OptimistAtomicQueue2, 5,i:  41,165,093 msg/sec
            OptimistAtomicQueue2, 6,s:  40,340,581 msg/sec
            OptimistAtomicQueue2, 6,i:  49,295,577 msg/sec
            OptimistAtomicQueue2, 7,s:  42,686,073 msg/sec
            OptimistAtomicQueue2, 7,i:  47,963,147 msg/sec
            OptimistAtomicQueue2, 8,s:  44,121,414 msg/sec
            OptimistAtomicQueue2, 8,i:  48,270,052 msg/sec
           OptimistAtomicQueueB2, 1,s:  82,102,910 msg/sec
           OptimistAtomicQueueB2, 1,i:  83,615,016 msg/sec
           OptimistAtomicQueueB2, 2,s:  26,908,098 msg/sec
           OptimistAtomicQueueB2, 2,i:  22,250,930 msg/sec
           OptimistAtomicQueueB2, 3,s:  28,367,181 msg/sec
           OptimistAtomicQueueB2, 3,i:  27,761,360 msg/sec
           OptimistAtomicQueueB2, 4,s:  31,500,132 msg/sec
           OptimistAtomicQueueB2, 4,i:  30,522,836 msg/sec
           OptimistAtomicQueueB2, 5,s:  33,237,559 msg/sec
           OptimistAtomicQueueB2, 5,i:  37,202,667 msg/sec
           OptimistAtomicQueueB2, 6,s:  36,594,020 msg/sec
           OptimistAtomicQueueB2, 6,i:  41,049,587 msg/sec
           OptimistAtomicQueueB2, 7,s:  39,922,711 msg/sec
